dataset	NCBIname	nLoci	Ltot_avg	Ltot_std	GCtot_avg	GCtot_std	GC12_avg	GC12_std	GC3_avg	GC3_std	GCutr_avg	GCutr_std	r_CorrectedExpression_GC12	rho_CorrectedExpression_GC12	tau_CorrectedExpression_GC12	r_CorrectedExpression_GC3	rho_CorrectedExpression_GC3	tau_CorrectedExpression_GC3	r_CorrectedExpression_GCutr	rho_CorrectedExpression_GCutr	tau_CorrectedExpression_GCutr	r_CorrectedExpression_NcJN	rho_CorrectedExpression_NcJN	tau_CorrectedExpression_NcJN	r_CorrectedExpression_NcpJN	rho_CorrectedExpression_NcpJN	tau_CorrectedExpression_NcpJN	r_CorrectedExpression_ENccubt	rho_CorrectedExpression_ENccubt	tau_CorrectedExpression_ENccubt	r_CorrectedExpression_ENcPcubt	rho_CorrectedExpression_ENcPcubt	tau_CorrectedExpression_ENcPcubt	r_CorrectedExpression_ENcFDScubt	rho_CorrectedExpression_ENcFDScubt	tau_CorrectedExpression_ENcFDScubt	r_CorrectedExpression_ENcPFDScubt	rho_CorrectedExpression_ENcPFDScubt	tau_CorrectedExpression_ENcPFDScubt	r_CorrectedExpression_Umcubt	rho_CorrectedExpression_Umcubt	tau_CorrectedExpression_Umcubt	r_CorrectedExpression_Ltot	rho_CorrectedExpression_Ltot	tau_CorrectedExpression_Ltot	r_CorrectedExpression_nReads	rho_CorrectedExpression_nReads	tau_CorrectedExpression_nReads	r_nCountedReads_GC12	rho_nCountedReads_GC12	tau_nCountedReads_GC12	r_nCountedReads_GC3	rho_nCountedReads_GC3	tau_nCountedReads_GC3	r_nCountedReads_GCutr	rho_nCountedReads_GCutr	tau_nCountedReads_GCutr	r_nCountedReads_NcJN	rho_nCountedReads_NcJN	tau_nCountedReads_NcJN	r_nCountedReads_NcpJN	rho_nCountedReads_NcpJN	tau_nCountedReads_NcpJN	r_nCountedReads_ENccubt	rho_nCountedReads_ENccubt	tau_nCountedReads_ENccubt	r_nCountedReads_ENcPcubt	rho_nCountedReads_ENcPcubt	tau_nCountedReads_ENcPcubt	r_nCountedReads_ENcFDScubt	rho_nCountedReads_ENcFDScubt	tau_nCountedReads_ENcFDScubt	r_nCountedReads_ENcPFDScubt	rho_nCountedReads_ENcPFDScubt	tau_nCountedReads_ENcPFDScubt	r_nCountedReads_Umcubt	rho_nCountedReads_Umcubt	tau_nCountedReads_Umcubt	r_nCountedReads_Ltot	rho_nCountedReads_Ltot	tau_nCountedReads_Ltot	r_GC3_GCutr	rho_GC3_GCutr	tau_GC3_GCutr
Crepidula_plana	Crepidula__plana	3278	573.47743	500.90452	0.52535	0.04147	0.48402	0.05055	0.60813	0.0926	0.40793	0.07104	0.00064	0.0071	0.00468	0.10168	0.07195	0.04839	nan	-0.59305	-0.94162	-0.18754	-0.1394	-0.09543	-0.22144	-0.17031	-0.11704	nan	0.37488	0.25304	nan	0.44686	0.30402	0.18347	0.36346	0.24424	0.21036	0.39564	0.26631	nan	-0.47752	-0.79802	0.36329	0.61656	0.43503	0.99758	0.98267	0.92933	0.01628	0.04528	0.03016	0.10416	0.0753	0.05127	nan	-0.60019	-0.99822	-0.18735	-0.1413	-0.09777	-0.2166	-0.16153	-0.11253	nan	0.40274	0.27683	nan	0.47669	0.32982	0.1952	0.39222	0.26846	0.22288	0.42498	0.29171	nan	-0.50277	-0.94502	0.37038	0.64296	0.46464	nan	-0.00244	-0.98539
Culex_hortensis	Culex__hortensis	14005	403.84341	272.23681	0.53247	0.06447	0.46822	0.05487	0.66141	0.14344	0.41596	0.0981	0.00214	0.01194	0.00925	0.10215	0.11744	0.07897	nan	-0.12232	-0.99946	-0.15304	-0.15652	-0.10527	-0.14711	-0.14693	-0.09921	0.01081	0.06124	0.0426	nan	0.22577	0.15455	0.0546	0.10496	0.07067	0.11749	0.2067	0.14034	nan	-0.28524	-0.96111	0.22125	0.35296	0.2441	0.99809	0.99552	0.95796	0.02161	0.03619	0.02419	0.118	0.13488	0.09204	nan	-0.12097	-1.03842	-0.16044	-0.16527	-0.11265	-0.15212	-0.1538	-0.10534	0.01131	0.06291	0.04438	nan	0.23612	0.113	0.05871	0.11127	0.07595	0.12759	0.21999	0.15157	nan	-0.29582	-0.89581	0.22691	0.36467	0.25606	nan	0.0332	-1.00059
Culex_pipiens_ref	Culex__pipiens	410	1201.66829	869.25868	0.57166	0.03616	0.48069	0.03631	0.75361	0.07978	0.50914	0.19712	-0.06207	-0.12458	-0.08323	0.09924	0.18388	0.12596	nan	0.03831	-1.00002	-0.14505	-0.21774	-0.15291	-0.19591	-0.24872	-0.17022	-0.25664	-0.2682	-0.18316	-0.31478	-0.23189	-0.15787	-0.19323	-0.21117	-0.14312	-0.28424	-0.21344	-0.14463	nan	0.19821	0.05982	-0.09528	-0.06148	-0.04008	0.99946	0.99482	0.95652	-0.03949	-0.07267	-0.04831	0.09873	0.18539	0.12742	nan	0.04356	-1.01515	-0.145	-0.22183	-0.15686	-0.18882	-0.23637	-0.16313	-0.25674	-0.27276	-0.18866	-0.3158	-0.23924	-0.16344	-0.19065	-0.21024	-0.14372	-0.28364	-0.21639	-0.14766	nan	0.20408	-0.26095	-0.09817	-0.07017	-0.04658	nan	0.05176	-1.00021
Culex_torrentium	Culex__torrentium	12258	515.52749	406.43918	0.54889	0.05504	0.47674	0.05257	0.69356	0.12133	0.40946	0.09403	-0.00234	0.00323	0.00154	0.06317	0.09489	0.0641	nan	-0.25462	-0.99902	-0.13593	-0.16151	-0.10872	-0.15437	-0.17161	-0.11589	nan	0.16741	0.11359	nan	0.34587	0.23802	0.13011	0.18541	0.12383	0.18477	0.31	0.21099	nan	-0.38545	-0.91603	0.29404	0.4928	0.34582	0.99642	0.9906	0.93602	0.03179	0.05379	0.03615	0.07996	0.11168	0.07647	nan	-0.25599	-1.03253	-0.14641	-0.17563	-0.11977	-0.15536	-0.17263	-0.11821	nan	0.17179	0.11822	nan	0.36379	0.2553	0.13748	0.1968	0.13318	0.20132	0.33253	0.23083	nan	-0.40182	-0.93627	0.30311	0.50962	0.36458	nan	-0.01969	-1.00005
Cystodites_dellechiajei_blue	Cystodytes__dellechiajei	26689	749.79943	622.90354	0.45657	0.05434	0.45169	0.04781	0.46633	0.10739	0.37524	0.06929	-0.00776	-0.02859	-0.01843	0.03437	0.02212	0.01476	nan	-0.49128	-0.98908	0.03021	0.04763	0.03181	-0.03528	0.00552	0.00311	0.11693	0.29015	0.19495	0.10006	0.2939	0.19754	0.11282	0.27118	0.18176	0.09819	0.27759	0.18617	nan	-0.28535	-0.94523	0.10996	0.35103	0.23737	0.99718	0.96728	0.88291	0.00693	-0.00285	-0.00219	0.03896	0.03764	0.02523	nan	-0.49859	-0.98432	0.03519	0.05794	0.0396	-0.03507	0.00619	0.00383	0.13181	0.33905	0.23552	0.11329	0.33981	0.23643	0.12764	0.31675	0.21889	0.11299	0.32296	0.22374	nan	-0.3263	-0.67616	0.12099	0.39903	0.28032	nan	0.02301	-0.99168
Cystodites_dellechiajei_purple	Cystodytes__aucklandicus	33908	645.49375	454.39975	0.45536	0.05533	0.45014	0.04832	0.46579	0.11083	0.37369	0.08068	-0.00768	-0.04947	-0.03283	0.06377	0.0548	0.03644	nan	-0.20435	-0.99628	0.00412	0.01438	0.00961	-0.07184	-0.04432	-0.0296	nan	-0.02964	-0.01985	nan	-0.05851	-0.03905	-0.0395	-0.02905	-0.01937	-0.06974	-0.06298	-0.04177	nan	0.0475	-0.8887	-0.07323	-0.03252	-0.02186	0.99707	0.98004	0.9059	0.02982	0.02449	0.01643	0.07318	0.08331	0.05567	nan	-0.20438	-0.99975	0.01025	0.03137	0.02108	-0.07392	-0.04411	-0.02976	nan	0.01076	0.00671	nan	-0.02448	-0.01699	-0.02141	0.0159	0.01026	-0.05231	-0.0215	-0.01479	nan	0.01406	-0.84705	-0.06299	-0.0005	-0.00093	nan	0.02471	-0.99665
Daubentonia_madagascariensis	Daubentonia__madagascariensis	9082	422.34365	316.11068	0.4735	0.06408	0.46197	0.05308	0.49663	0.138	0.42448	0.09256	-0.00094	-0.16902	-0.12957	0.01676	0.13788	0.09208	nan	-0.25986	-0.99572	-0.01112	-0.04885	-0.03246	-0.01135	-0.06354	-0.04225	0.03707	0.12934	0.08559	0.04628	0.17719	0.11718	0.03691	0.14159	0.09352	0.04416	0.15744	0.10376	nan	-0.1743	-0.99129	0.07552	0.23678	0.15775	0.99969	0.6432	0.48905	0.00505	0.15243	0.10275	0.01865	0.25143	0.1699	nan	-0.32407	-1.02523	-0.01244	-0.11679	-0.07898	-0.01269	-0.13311	-0.0903	0.04039	0.29616	0.20227	0.05017	0.36741	0.24951	0.04079	0.33852	0.2318	0.0484	0.35676	0.24293	nan	-0.35398	-0.89704	0.07855	0.45484	0.31468	nan	0.02172	-0.99981
Echinocardium_cordatum_B2	Echinocardium__cordatum	23422	554.35757	403.88876	0.5159	0.05392	0.47606	0.05176	0.59581	0.12482	0.39158	0.0848	-0.00705	-0.02856	-0.01989	0.14504	0.13405	0.08953	nan	-0.11106	-0.99941	-0.12134	-0.07893	-0.0525	-0.10476	-0.07343	-0.04892	nan	-0.11338	-0.06812	nan	-0.0824	-0.04568	-0.06391	-0.08171	-0.05431	-0.05165	-0.07162	-0.0475	nan	0.03287	-0.95738	-0.04166	-0.05265	-0.03478	0.99959	0.99233	0.9415	0.00798	0.03751	0.02505	0.14713	0.14481	0.09759	nan	-0.10702	-1.00832	-0.12206	-0.0826	-0.05548	-0.10299	-0.07042	-0.04739	nan	-0.10303	-0.28537	nan	-0.06769	-0.25946	-0.05861	-0.06348	-0.04274	-0.04557	-0.05092	-0.03421	nan	0.01767	-0.87696	-0.03874	-0.03959	-0.02644	nan	0.03358	-0.99917
Echinocardium_mediterraneum	Echinocardium__mediterraneum	20843	899.14998	800.84835	0.50296	0.04751	0.47109	0.04473	0.56678	0.10991	0.38411	0.07057	-0.00188	-0.02376	-0.01544	0.16477	0.14818	0.09947	nan	-0.12638	-0.97785	-0.13253	-0.05726	-0.038	-0.12701	-0.06241	-0.04164	nan	-0.13188	-0.08734	nan	-0.12273	-0.08078	-0.13158	-0.1018	-0.06829	-0.1343	-0.10952	-0.07322	nan	0.07537	-0.60907	-0.12729	-0.10621	-0.07107	0.9994	0.99335	0.95008	0.01072	0.01584	0.01064	0.16247	0.14425	0.09747	nan	-0.12422	-0.98415	-0.13493	-0.06141	-0.04103	-0.13078	-0.06855	-0.04602	nan	-0.14966	-0.07604	nan	-0.14192	-0.06936	-0.13667	-0.11533	-0.07757	-0.13893	-0.12165	-0.08158	nan	0.08974	-0.84821	-0.13133	-0.12521	-0.0838	nan	-0.0068	-0.98961
Emiliania_huxleyi	Emiliania__huxleyi	16719	626.83887	384.22136	0.67078	0.03246	0.59157	0.04523	0.82948	0.07508	0.61925	0.0767	-0.02544	0.16553	0.13195	0.06775	-0.00054	-0.00096	nan	-0.087	-0.99844	-0.08924	-0.02924	-0.0195	-0.10498	0.00873	0.00734	nan	0.01499	0.01077	nan	0.02848	0.02046	-0.01208	0.06173	0.0418	0.05243	0.07137	0.04872	nan	-0.07613	-0.74299	0.01373	0.05935	0.04087	0.93395	0.8356	0.66882	-0.36436	-0.29483	-0.20245	0.16029	0.13881	0.09335	nan	-0.13006	-1.00631	-0.159	-0.13545	-0.09151	-0.26812	-0.18757	-0.12684	nan	-0.06569	-0.04293	nan	0.08498	0.05991	-0.09943	-0.03965	-0.02707	0.02701	0.10032	0.06737	nan	-0.13999	-0.84912	0.06347	0.15048	0.10118	nan	0.07669	-0.99955
Emys_orbicularis	Emys__orbicularis	4522	704.28505	471.65976	0.48968	0.06751	0.47419	0.05528	0.52066	0.1362	0.42395	0.09607	-0.00106	-0.15399	-0.10845	0.0602	-0.02133	-0.01283	nan	-0.15668	-0.81884	0.00644	0.06595	0.04431	-0.07503	0.04035	0.02753	-0.03392	-0.03763	-0.02516	-0.06503	-0.0854	-0.05647	-0.02167	-0.03918	-0.02604	-0.03459	-0.07261	-0.04799	nan	0.04861	-0.54297	-0.09425	-0.10765	-0.07084	0.99635	0.93605	0.81522	0.0487	0.06465	0.04344	0.08593	0.07274	0.04883	nan	-0.13024	-0.63623	-0.00389	0.03571	0.0241	-0.088	-0.01304	-0.00877	-0.02736	-0.01851	-0.01241	-0.05121	-0.04496	-0.03038	-0.00666	0.00389	0.00273	-0.01342	-0.01261	-0.00854	nan	-0.00133	-0.65308	-0.08256	-0.06002	-0.04005	nan	0.29644	-0.82008
Eudyptes_filholi	Eudyptes__filholi	6640	914.15633	842.66747	0.48357	0.07373	0.46896	0.05586	0.51283	0.15379	0.41149	0.0903	-0.02421	-0.20156	-0.14232	0.03601	-0.00668	-0.00382	nan	-0.47526	-0.9472	0.01342	0.05408	0.03633	-0.04806	0.04214	0.02798	0.05283	0.15908	0.10626	0.05085	0.17623	0.11704	0.06604	0.15211	0.10127	0.05643	0.15372	0.10165	nan	-0.14153	-0.89039	0.08472	0.20099	0.13398	0.99449	0.9204	0.79074	0.04442	0.07518	0.05165	0.0679	0.0964	0.06558	nan	-0.4787	-0.81473	-0.00262	0.01793	0.01238	-0.06687	-0.02565	-0.01726	0.05592	0.18829	0.12815	0.06665	0.23374	0.15907	0.08036	0.2104	0.14345	0.0812	0.23362	0.15937	nan	-0.21579	-0.60595	0.09182	0.26504	0.1804	nan	0.21522	-0.9539
Eudyptes_moseleyi	Eudyptes__chrysocome__moseleyi	8417	916.12415	836.7134	0.49174	0.07921	0.47398	0.05901	0.52729	0.16218	0.42112	0.09428	-0.02065	-0.21349	-0.15323	0.04333	-0.00332	-0.0018	nan	-0.48757	-0.94676	-0.01216	0.03003	0.02036	-0.06447	0.02015	0.01317	0.03068	0.13066	0.08753	nan	0.18101	0.1129	0.04461	0.12603	0.08382	0.05081	0.15702	0.10403	nan	-0.15323	-0.6936	0.07903	0.21182	0.1403	0.99333	0.89599	0.75846	0.05678	0.10831	0.07425	0.08278	0.13065	0.08843	nan	-0.49457	-0.96904	-0.03263	-0.01948	-0.01292	-0.08614	-0.06132	-0.0418	0.02835	0.14914	0.10203	nan	0.24247	0.08826	0.05645	0.18439	0.12595	0.07821	0.25043	0.17122	nan	-0.23748	-0.66777	0.0853	0.28042	0.19014	nan	0.19465	-0.95959
Eulemur_coronatus	Eulemur__coronatus	9666	442.17287	343.095	0.48002	0.06917	0.46585	0.05534	0.50842	0.148	0.43281	0.0976	-0.00256	-0.07933	-0.05833	0.15805	0.20631	0.13779	nan	-0.35555	-0.99651	-0.06751	-0.0786	-0.05243	-0.06665	-0.09344	-0.06274	0.25536	0.2865	0.19326	0.33181	0.38019	0.25657	0.26837	0.30781	0.2064	0.30361	0.34825	0.23316	nan	-0.39023	-0.96399	0.4233	0.47955	0.32935	0.9939	0.93819	0.81977	0.06391	0.14408	0.09697	0.17824	0.26346	0.17856	nan	-0.35372	-1.03483	-0.08032	-0.11485	-0.07786	-0.07885	-0.13381	-0.091	0.26302	0.31271	0.21529	0.34285	0.40882	0.28131	0.28668	0.36163	0.24933	0.32394	0.40271	0.27718	nan	-0.4193	-0.9711	0.43122	0.51174	0.35885	nan	0.00537	-0.99967
Eulemur_mongoz	Eulemur__mongoz	8510	440.60106	348.68907	0.48712	0.06602	0.46844	0.05353	0.52459	0.14682	0.44788	0.09984	-0.00247	-0.08986	-0.06516	0.1688	0.22572	0.15044	nan	-0.33622	-0.9963	-0.08704	-0.12446	-0.08252	-0.08382	-0.12589	-0.08338	0.25559	0.27188	0.18247	0.35137	0.39276	0.2656	0.26625	0.29169	0.19444	0.32008	0.35509	0.23773	nan	-0.40018	-0.96411	0.43106	0.49733	0.34287	0.99315	0.93598	0.81195	0.07288	0.15371	0.10355	0.18621	0.2716	0.18378	nan	-0.33366	-1.03777	-0.09981	-0.15955	-0.10757	-0.09206	-0.15468	-0.10427	0.25854	0.28507	0.19472	0.35805	0.41044	0.28252	0.28227	0.33947	0.23287	0.33915	0.40533	0.27913	nan	-0.41505	-0.97668	0.43521	0.51438	0.36019	nan	0.02701	-0.99974
Eunicella_cavolinii	Eunicella__cavolinii	19803	492.92324	339.01148	0.41368	0.03786	0.43575	0.04717	0.36944	0.06695	0.34611	0.08524	-0.01307	-0.08634	-0.05855	-0.02874	-0.0766	-0.05174	nan	-0.09094	-0.99937	-0.0573	-0.06643	-0.04462	-0.07021	-0.02998	-0.02024	-0.13163	-0.10046	-0.06704	-0.11773	-0.06476	-0.04262	-0.12865	-0.1066	-0.07105	-0.0992	-0.07303	-0.04833	nan	0.05661	-0.91146	-0.09222	-0.04997	-0.03271	0.99682	0.98484	0.916	0.06106	0.04295	0.02901	-0.03273	-0.08289	-0.05633	nan	-0.08861	-1.02054	-0.05697	-0.06512	-0.04407	-0.08574	-0.05326	-0.03609	-0.12999	-0.09284	-0.06237	-0.11883	-0.06186	-0.04095	-0.11933	-0.08582	-0.05777	-0.0864	-0.0474	-0.03156	nan	0.04903	-0.9032	-0.09407	-0.04886	-0.03222	nan	0.01162	-1.00065
Eunicella_verrucosa	Eunicella__verrucosa	18812	457.50664	310.91392	0.41384	0.03769	0.43715	0.04796	0.36712	0.06663	0.33554	0.07208	-0.00075	-0.02938	-0.02075	-0.00292	-0.0057	-0.00397	nan	-0.31839	-0.99796	-0.05405	-0.07562	-0.05094	-0.01745	-0.03445	-0.02346	0.22592	0.32154	0.21877	0.24965	0.35597	0.24371	0.20436	0.29084	0.1964	0.23774	0.32988	0.22359	nan	-0.36972	-0.95617	0.2835	0.43853	0.3061	0.99673	0.99391	0.95556	0.06431	0.04301	0.02948	-0.00865	-0.0111	-0.00765	nan	-0.31791	-0.99517	-0.05654	-0.07873	-0.05369	-0.02808	-0.04456	-0.03055	0.23599	0.33628	0.23266	0.25873	0.36905	0.25703	0.22082	0.31242	0.21501	0.25853	0.35483	0.24529	nan	-0.3832	-0.89318	0.2908	0.45073	0.32012	nan	0.04105	-1.00001
Galago_senegalensis	Galago__senegalensis	4700	356.58128	209.06685	0.47068	0.06269	0.46058	0.05474	0.49095	0.12903	0.42456	0.09584	0.00603	-0.04217	-0.0314	0.1963	0.20314	0.13535	nan	-0.34515	-0.99072	-0.07051	-0.07531	-0.05031	-0.09432	-0.11094	-0.07433	0.26642	0.29846	0.20246	0.29844	0.33316	0.22569	0.27401	0.30568	0.20525	0.27649	0.29635	0.19885	nan	-0.35707	-0.98027	0.39304	0.47447	0.3274	0.99308	0.96051	0.85498	0.09695	0.16791	0.11275	0.22175	0.26061	0.17575	nan	-0.33711	-1.02016	-0.08188	-0.09818	-0.06619	-0.10506	-0.13573	-0.09182	0.26911	0.30697	0.21077	0.29943	0.3344	0.22873	0.29376	0.34997	0.24026	0.29555	0.33684	0.23081	nan	-0.35572	-0.99332	0.39166	0.47114	0.32761	nan	0.01256	-0.99777
Halictus_scabiosae	Halictus__scabiosae	5773	937.04227	638.17728	0.4291	0.06392	0.43205	0.049	0.4232	0.13589	0.3482	0.0842	-0.00705	-0.23395	-0.17189	0.07544	-0.0538	-0.03578	nan	-0.20762	-0.80585	0.01419	-0.04691	-0.03139	-0.10404	-0.00537	-0.00274	-0.08616	-0.07923	-0.05293	-0.16761	-0.0773	-0.05283	-0.10706	-0.09862	-0.06569	-0.14896	-0.0863	-0.05809	nan	0.06024	-0.40025	-0.13132	-0.05532	-0.03765	0.99014	0.91035	0.76349	0.12643	0.1007	0.06824	0.12514	0.07883	0.05303	nan	-0.15042	-0.82747	0.04552	0.0353	0.02368	-0.13242	-0.08163	-0.05511	-0.06664	-0.02524	-0.01674	-0.18366	-0.12346	-0.08455	-0.08334	-0.04342	-0.02894	-0.14596	-0.09249	-0.06298	nan	0.07382	-0.66499	-0.14518	-0.09351	-0.06367	nan	0.39482	-0.81408
Halictus_sexinctus	Halictus__sexcinctus	4843	446.28185	310.97624	0.41603	0.05904	0.42564	0.04878	0.39678	0.13075	0.33033	0.08142	-0.00563	-0.24883	-0.18028	0.20114	0.14969	0.10068	nan	-0.51377	-0.9764	0.01634	-0.02565	-0.01682	-0.08633	-0.06097	-0.04258	0.38816	0.42851	0.2894	0.34399	0.44426	0.30135	0.34897	0.36765	0.24574	0.30968	0.36103	0.23901	nan	-0.45346	-0.94717	0.45923	0.57755	0.40195	0.97526	0.84974	0.69956	0.21072	0.20836	0.14435	0.23907	0.24816	0.17133	nan	-0.54762	-1.06536	0.03139	-0.00779	-0.00432	-0.11567	-0.15056	-0.10458	0.4222	0.55361	0.39354	0.3507	0.51266	0.36162	0.40208	0.524	0.37225	0.35595	0.50041	0.3519	nan	-0.53614	-1.02981	0.465	0.65753	0.48037	nan	-0.03574	-0.9922
Halictus_simplex	Halictus__simplex	6142	464.83312	313.28276	0.41235	0.05967	0.42451	0.04989	0.38799	0.13129	0.33308	0.08192	-0.00227	-0.24629	-0.17925	0.22149	0.16028	0.10781	nan	-0.52998	-0.97408	0.0497	0.00826	0.00594	-0.04861	-0.00448	-0.00424	nan	0.44512	0.29898	nan	0.48314	0.3272	0.37188	0.39646	0.26458	0.3402	0.40157	0.26653	nan	-0.47583	-0.92367	0.47092	0.59088	0.41085	0.97565	0.85543	0.70495	0.20557	0.19915	0.13809	0.25965	0.24628	0.16926	nan	-0.56613	-1.02691	0.06821	0.04199	0.0291	-0.08105	-0.08086	-0.05615	nan	0.56952	0.35292	nan	0.55584	0.33455	0.4246	0.55153	0.39098	0.38773	0.54572	0.38555	nan	-0.5547	-0.94756	0.47919	0.67238	0.49167	nan	-0.04011	-0.99301
Hippocampus_guttulatus	Hippocampus__guttulatus	20289	1016.84253	983.76777	0.54068	0.05826	0.48949	0.05134	0.64313	0.11941	0.44794	0.07486	-0.00481	0.09172	0.0666	0.03701	0.06845	0.04499	nan	-0.14644	-0.91565	-0.01464	-0.01334	-0.00892	-0.05379	-0.01201	-0.00828	nan	-0.02876	-0.01803	nan	-0.04922	-0.03585	-0.07159	-0.01645	-0.01203	-0.11057	-0.04843	-0.03441	nan	0.04673	-0.49377	-0.10982	-0.04549	-0.03228	0.98312	0.94853	0.81295	-0.17992	-0.18282	-0.12387	-0.00879	-0.00492	-0.00367	nan	-0.21004	-0.83856	0.01339	0.03201	0.02143	-0.07869	-0.04685	-0.03178	nan	-0.00866	-0.2108	nan	-0.0737	-0.22435	-0.09184	-0.03152	-0.02221	-0.16292	-0.10879	-0.07485	nan	0.08933	-0.73648	-0.11843	-0.05102	-0.03605	nan	0.15003	-0.96042
Hippocampus_hippocampus	Hippocampus__hippocampus	21112	832.60861	739.11371	0.5368	0.05815	0.4877	0.05184	0.63503	0.12118	0.44965	0.07401	0.00404	0.12591	0.08914	0.07407	0.10936	0.07248	nan	-0.58881	-0.92476	-0.05348	-0.06666	-0.04446	-0.05979	-0.03391	-0.02382	nan	0.21449	0.14098	nan	0.34502	0.22853	nan	0.24027	0.15873	nan	0.33487	0.22445	nan	-0.33799	-0.76969	0.16925	0.39081	0.26297	0.99124	0.95617	0.84767	-0.1151	-0.09996	-0.06879	0.05497	0.08176	0.0547	nan	-0.62854	-0.90085	-0.04074	-0.05404	-0.03646	-0.07727	-0.0705	-0.04848	nan	0.24518	0.0591	nan	0.36565	0.13191	nan	0.24119	0.05798	nan	0.31875	0.10233	nan	-0.34486	-0.71544	0.17289	0.43046	0.2992	nan	0.02788	-0.98875
Hippocampus_kuda	Hippocampus__kuda	21994	942.87356	940.53419	0.53917	0.0573	0.48866	0.05126	0.64027	0.11937	0.44203	0.07284	-0.0013	0.08217	0.05825	0.0382	0.06813	0.04499	nan	-0.47133	-0.90239	-0.03852	-0.05257	-0.03502	-0.07443	-0.05451	-0.03736	nan	0.17099	0.11285	nan	0.24064	0.15835	0.10236	0.1859	0.1234	0.1211	0.23342	0.15553	nan	-0.23841	-0.76863	0.09378	0.28295	0.18623	0.99042	0.97382	0.87525	-0.12473	-0.10035	-0.06911	0.01524	0.04084	0.02684	nan	-0.51819	-0.96053	-0.02368	-0.03982	-0.02667	-0.09143	-0.08249	-0.05638	nan	0.19613	0.14667	nan	0.25689	0.18929	0.09427	0.18964	0.12646	0.09719	0.22422	0.14988	nan	-0.24564	-0.79495	0.09651	0.31303	0.21103	nan	0.11828	-0.9101
Homo_sapiens	Homo__sapiens	9881	436.01225	338.12028	0.49391	0.07108	0.47397	0.05671	0.5339	0.15213	0.45585	0.10142	-0.0056	-0.07662	-0.05406	0.14824	0.21288	0.14191	nan	-0.349	-0.99472	-0.08503	-0.115	-0.07652	-0.06789	-0.10662	-0.07085	0.27452	0.31572	0.21229	nan	0.44703	0.30437	0.29079	0.33292	0.22232	0.34907	0.39945	0.26914	nan	-0.45615	-0.95568	0.46883	0.56425	0.39469	0.99344	0.94437	0.82391	0.08884	0.18637	0.12582	0.1751	0.27889	0.18872	nan	-0.34884	-1.02818	-0.10334	-0.1575	-0.10606	-0.07865	-0.13627	-0.0917	0.27013	0.31095	0.21174	nan	0.45411	0.31155	0.3062	0.37967	0.26015	0.36928	0.45086	0.31176	nan	-0.46706	-0.96439	0.47134	0.57263	0.40551	nan	0.02657	-0.99987
Leptogorgia_sarmentosa	Leptogorgia__sarmentosa	16494	406.76234	240.36902	0.42195	0.04168	0.44	0.04911	0.38575	0.08128	0.338	0.0753	-0.00477	-0.02232	-0.01507	0.02625	0.01314	0.00853	nan	-0.28666	-0.99791	0.00424	-0.02473	-0.0169	0.00656	-0.00325	-0.0024	0.23819	0.32631	0.22272	0.2382	0.33573	0.23075	0.20937	0.28846	0.19548	0.22023	0.30288	0.20581	nan	-0.34441	-0.98264	0.28239	0.41263	0.28846	0.99696	0.99533	0.95806	0.04684	0.03479	0.02376	0.02194	0.00974	0.00637	nan	-0.28496	-0.99897	0.00181	-0.02828	-0.01945	-0.00193	-0.01041	-0.00722	0.2468	0.33836	0.2345	0.24676	0.34724	0.24231	0.22296	0.30577	0.2106	0.23837	0.32372	0.2237	nan	-0.35516	-0.83097	0.28998	0.42319	0.30049	nan	0.04905	-0.9979
Lepus_granatensis	Lepus__granatensis	4809	823.54377	637.75989	0.50631	0.07957	0.48066	0.06185	0.55762	0.15963	0.43173	0.11732	-0.00534	-0.09806	-0.0721	0.0851	0.03493	0.0222	nan	-0.16979	-0.90472	-0.03126	-0.02639	-0.01768	-0.05893	-0.03649	-0.02429	-0.05538	-0.0203	-0.0137	nan	0.00401	0.00098	-0.05084	-0.01605	-0.01059	-0.02965	0.01407	0.00872	nan	-0.02431	-0.56064	-0.07195	0.01394	0.00831	0.99694	0.95059	0.83269	0.037	0.085	0.05684	0.11538	0.13439	0.08984	nan	-0.15315	-0.82025	-0.04523	-0.05659	-0.03799	-0.07289	-0.0854	-0.05753	-0.0616	-0.03703	-0.02473	nan	0.00334	-0.04699	-0.04947	-0.01281	-0.00847	-0.02023	0.03125	0.01998	nan	-0.03812	-0.72426	-0.0739	0.01605	0.00969	nan	0.29827	-0.90631
Lineus_lacteus	Ramphogordius__lacteus	22522	667.44059	630.28292	0.47158	0.03787	0.45783	0.04512	0.49911	0.08488	0.39615	0.05715	-0.00512	-0.14998	-0.10217	0.11539	0.10052	0.06763	nan	-0.47271	-0.98985	-0.01826	0.04805	0.03177	-0.03939	0.02729	0.01813	nan	0.43901	0.30196	nan	0.43981	0.30239	0.18225	0.40357	0.27415	0.18046	0.39911	0.27016	nan	-0.42326	-0.92552	0.24035	0.52231	0.36357	0.99793	0.95722	0.87013	0.04173	0.04673	0.03249	0.11063	0.0794	0.05543	nan	-0.47125	-1.05296	-0.01759	0.04557	0.03154	-0.03815	0.03184	0.02198	nan	0.48149	0.35551	nan	0.48321	0.35744	0.19653	0.46232	0.32987	0.19662	0.4645	0.33099	nan	-0.46775	-0.77015	0.24756	0.56071	0.40834	nan	0.01534	-0.99893
