dataset	NCBI_name	nLoci	Ltot_avg	Ltot_std	GCtot_avg	GCtot_std	GC3_avg	GC3_std	GCutr_avg	GCutr_std	r.expression_GC12	rho.expression_GC12	tau.expression_GC12	r.expression_GC3	rho.expression_GC3	tau.expression_GC3	r.expression_ENc	rho.expression_ENc	tau.expression_ENc	r.expression_ENc	rho.expression_ENc	tau.expression_ENc	r.expression_ENcP	rho.expression_ENcP	tau.expression_ENcP	r.expression_ENcFDS	rho.expression_ENcFDS	tau.expression_ENcFDS	r.expression_ENcPFDS	rho.expression_ENcPFDS	tau.expression_ENcPFDS	r.expression_Um	rho.expression_Um	tau.expression_Um	r.expression_Ltot	rho.expression_Ltot	tau.expression_Ltot	r.expression_nReads	rho.expression_nReads	tau.expression_nReads	r.nReads_GC12	rho.nReads_GC12	tau.nReads_GC12	r.nReads_GC3	rho.nReads_GC3	tau.nReads_GC3	r.nReads_ENc	rho.nReads_ENc	tau.nReads_ENc	r.nReads_ENc	rho.nReads_ENc	tau.nReads_ENc	r.nReads_ENcP	rho.nReads_ENcP	tau.nReads_ENcP	r.nReads_ENcFDS	rho.nReads_ENcFDS	tau.nReads_ENcFDS	r.nReads_ENcPFDS	rho.nReads_ENcPFDS	tau.nReads_ENcPFDS	rho.nReads_Um	tau.nReads_Um
Culex_torrentium	Culex torrentium	12258	515.52749225	406.439183467	0.5488854484	0.0550372336	0.6935597321	0.1213316104	0.4094633492	0.0940290331	-0.0023438716	0.0032275646	0.0015448153	0.0631726631	0.0948941136	0.0641014929	nan	0.1674147968	0.1135923126	nan	0.1674147968	0.1135923126	nan	0.3458651812	0.238018142	0.1301059924	0.1854146668	0.1238346046	0.1847748055	0.309995543	0.2109923554	nan	-0.385449015	-0.9160349108	0.294044337	0.4928000629	0.3458189244	0.9964176741	0.9906025675	0.936017755	0.0317927194	0.053788387	0.0361527548	0.079959573	0.1116759474	0.0764704922	nan	0.1717902608	0.1182205856	nan	0.1717902608	0.1182205856	nan	0.3637901298	0.2553018176	0.1374804082	0.1967950945	0.1331790611	0.2013187221	0.3325265707	0.2308325691	-0.4018175996	-0.9362692966
Cystodites_dellechiajei_blue	Cystodytes dellechiajei	26689	749.799430477	622.903535985	0.4565722167	0.0543404986	0.4663335877	0.1073948282	0.3752392628	0.0692913121	-0.0077562721	-0.0285859882	-0.0184348178	0.0343674534	0.022118549	0.0147617586	0.1169288713	0.2901492745	0.194952634	0.1169288713	0.2901492745	0.194952634	0.1000564896	0.2938975502	0.1975436082	0.1128194213	0.2711808215	0.1817618067	0.0981933038	0.2775876941	0.1861672837	nan	-0.2853495636	-0.9452253851	0.1099581002	0.3510339276	0.2373741708	0.9971811179	0.9672844632	0.8829138934	0.0069334845	-0.0028464834	-0.0021948856	0.0389619724	0.0376392197	0.0252333571	0.1318136808	0.3390484973	0.2355172814	0.1318136808	0.3390484973	0.2355172814	0.1132924173	0.3398087834	0.2364267448	0.1276443972	0.3167509994	0.2188905788	0.1129861008	0.3229648174	0.2237411075	-0.3262997599	-0.6761571233
Cystodites_dellechiajei_purple	Cystodytes aucklandicus	33908	645.493747788	454.399752359	0.4553555718	0.0553340337	0.4657939247	0.1108311353	0.3736929029	0.0806790696	-0.0076802672	-0.0494669376	-0.0328282869	0.0637732901	0.0548011077	0.0364440591	nan	-0.0296352626	-0.0198478244	nan	-0.0296352626	-0.0198478244	nan	-0.0585065175	-0.0390511729	-0.0395016369	-0.029046386	-0.0193681486	-0.0697360473	-0.0629751414	-0.0417721241	nan	0.0475022887	-0.8887019764	-0.073229697	-0.0325191804	-0.0218570237	0.9970661487	0.9800448278	0.9058987586	0.0298235213	0.0244872081	0.0164300211	0.0731773441	0.0833084345	0.0556680459	nan	0.0107568831	0.0067148859	nan	0.0107568831	0.0067148859	nan	-0.0244779207	-0.0169918254	-0.0214101318	0.0158998302	0.0102611697	-0.0523116884	-0.0214978053	-0.0147865983	0.014058243	-0.8470459885
Daubentonia_madagascariensis	Daubentonia madagascariensis	9082	422.343646774	316.110676082	0.4734970036	0.0640837533	0.4966305224	0.1379975478	0.4244844032	0.0925582937	-0.0009396575	-0.1690237785	-0.1295678214	0.016756263	0.1378795734	0.0920758212	0.0370687763	0.1293386041	0.0855903005	0.0370687763	0.1293386041	0.0855903005	0.046281479	0.1771881303	0.1171795843	0.036913443	0.141586011	0.0935197324	0.0441622836	0.1574352703	0.1037648755	nan	-0.1742969393	-0.9912906375	0.0755177364	0.2367778781	0.1577544695	0.9996893458	0.643197274	0.4890533181	0.0050536195	0.1524270491	0.1027491875	0.0186501358	0.2514257787	0.1699007586	0.0403873692	0.2961623179	0.202269029	0.0403873692	0.2961623179	0.202269029	0.0501749006	0.3674068607	0.2495130448	0.0407946165	0.3385225154	0.2317955073	0.0484032332	0.356755886	0.2429252537	-0.3539760008	-0.8970356325
Echinocardium_cordatum_B2	Echinocardium cordatum	23422	554.357569806	403.888757191	0.515904574	0.0539172424	0.5958071467	0.1248201523	0.3915791284	0.08480081	-0.00704999	-0.0285612671	-0.0198897233	0.145041191	0.134046126	0.0895319392	nan	-0.1133813254	-0.0681159117	nan	-0.1133813254	-0.0681159117	nan	-0.082396771	-0.045683787	-0.0639089602	-0.081711664	-0.0543060004	-0.0516526328	-0.0716245708	-0.0474973351	nan	0.0328738267	-0.9573767055	-0.0416595825	-0.0526483578	-0.0347796613	0.9995920626	0.9923278038	0.9415037075	0.0079830667	0.0375068196	0.0250525841	0.1471294683	0.1448107161	0.097585682	nan	-0.103034133	-0.2853684586	nan	-0.103034133	-0.2853684586	nan	-0.067687785	-0.2594550767	-0.0586073385	-0.0634817975	-0.0427394293	-0.0455720098	-0.0509178335	-0.0342092724	0.0176736263	-0.8769639833
Echinocardium_mediterraneum	Echinocardium mediterraneum	20843	899.14997841	800.848347664	0.5029591273	0.0475126416	0.5667759447	0.109913616	0.3841053904	0.0705691485	-0.0018769109	-0.023757525	-0.0154432057	0.1647650246	0.1481847571	0.0994728966	nan	-0.1318807993	-0.0873421943	nan	-0.1318807993	-0.0873421943	nan	-0.1227272475	-0.0807783413	-0.1315792761	-0.1017995519	-0.068294936	-0.1342951016	-0.1095156755	-0.0732239135	nan	0.0753669535	-0.6090655972	-0.1272882795	-0.1062062797	-0.0710686337	0.999395045	0.9933527694	0.9500845731	0.0107213689	0.0158425167	0.0106443875	0.1624688367	0.1442542337	0.0974672319	nan	-0.1496603513	-0.0760437113	nan	-0.1496603513	-0.0760437113	nan	-0.1419176448	-0.0693622985	-0.1366734593	-0.115334308	-0.0775685452	-0.138933889	-0.1216473723	-0.0815767259	0.0897435604	-0.8482076977
Emiliania_huxleyi	Emiliania huxleyi	16719	626.838865961	384.221359048	0.6707797545	0.0324589624	0.8294756043	0.0750803211	0.6192491153	0.0767033817	-0.0254397213	0.1655319956	0.1319482448	0.0677536319	-0.0005386222	-0.0009627061	nan	0.0149876418	0.0107741804	nan	0.0149876418	0.0107741804	nan	0.0284767148	0.0204601416	-0.0120752971	0.0617274445	0.0417953167	0.0524314409	0.0713701041	0.0487248027	nan	-0.0761281183	-0.7429905171	0.0137304802	0.0593526775	0.0408713341	0.9339521324	0.8355964595	0.6688184127	-0.3643571121	-0.2948262654	-0.2024523581	0.160288845	0.1388104018	0.0933489832	nan	-0.0656854041	-0.0429348345	nan	-0.0656854041	-0.0429348345	nan	0.0849817523	0.0599061874	-0.099426496	-0.0396517257	-0.0270710699	0.0270118755	0.1003222005	0.0673748063	-0.1399857705	-0.8491226219
Emys_orbicularis	Emys orbicularis	4522	704.285050862	471.659762277	0.4896786293	0.0675088773	0.5206638508	0.1362033764	0.4239540457	0.096072674	-0.0010588348	-0.1539866307	-0.108453292	0.0602048711	-0.0213287576	-0.0128287434	-0.0339211842	-0.0376277682	-0.0251641925	-0.0339211842	-0.0376277682	-0.0251641925	-0.0650283642	-0.0854033354	-0.056472957	-0.0216656976	-0.0391757998	-0.0260357763	-0.0345894556	-0.0726074644	-0.0479860626	nan	0.0486062317	-0.5429743632	-0.0942468532	-0.1076502488	-0.0708409472	0.9963451454	0.9360507982	0.8152242795	0.0486976698	0.0646459876	0.0434358486	0.0859314548	0.0727385679	0.048831436	-0.027363972	-0.0185149542	-0.012410852	-0.027363972	-0.0185149542	-0.012410852	-0.0512123018	-0.0449621803	-0.0303826408	-0.006663987	0.0038933769	0.0027257432	-0.0134208553	-0.0126083322	-0.0085384329	-0.0013317116	-0.6530799971
Eudyptes_filholi	Eudyptes filholi	6931	936.823979224	1086.16641207	0.4836485405	0.0735532948	0.5128784864	0.1534468792	0.4115826614	0.089988603	-0.0117951468	-0.1839373476	-0.1303231693	0.044772117	0.0016991068	0.001831937	0.0373002662	0.151085469	0.1010136904	0.0373002662	0.151085469	0.1010136904	0.0362360065	0.1684460991	0.1119756473	0.0511177159	0.1457759453	0.0971876942	0.0457923014	0.1496791192	0.0990490338	nan	-0.1378650852	-0.8565736481	0.0865365051	0.1977045297	0.1318507147	0.995367301	0.9269161249	0.8011493988	0.0514664517	0.0790253933	0.0543390883	0.0739216115	0.0994034702	0.067668297	0.0406278783	0.1792310197	0.121991919	0.0406278783	0.1792310197	0.121991919	0.0512062218	0.2232354687	0.1518460397	0.0646901184	0.2013853326	0.1373341757	0.0689344348	0.2255586256	0.1538045472	-0.2082325008	-0.749071065
Eudyptes_moseleyi	Eudyptes chrysocome moseleyi	9003	947.914806176	1046.16865791	0.4915197335	0.0786639139	0.5264234221	0.1613042525	0.4206752964	0.0931083971	-0.0130469449	-0.1947006654	-0.1396926436	0.0487572716	0.0001989912	0.0006243089	0.0250156128	0.1323716098	0.0886678509	0.0250156128	0.1323716098	0.0886678509	nan	0.1801734401	0.1079647607	0.0397013557	0.1289980695	0.085896532	0.0473039603	0.1585320766	0.1051065839	nan	-0.1525353268	-0.7270147262	0.0821480228	0.2115188483	0.1402644781	0.9941728721	0.9052585326	0.7711871619	0.0596494469	0.1116723346	0.0764172866	0.0852872556	0.1269043489	0.0858766796	0.0235556968	0.1501023813	0.1025321866	0.0235556968	0.1501023813	0.1025321866	nan	0.2374052054	0.1228861629	0.0512775968	0.1841134957	0.1257928948	0.0731519815	0.2460581403	0.1682123518	-0.2310037985	-0.5240567465
Eulemur_coronatus	Eulemur coronatus	9666	442.172873991	343.095002664	0.4800164841	0.0691714304	0.508422814	0.1480004283	0.4328091188	0.0976034057	-0.0025620256	-0.0793301635	-0.0583304995	0.158053255	0.2063055899	0.1377903149	0.2553583199	0.2865049913	0.1932563036	0.2553583199	0.2865049913	0.1932563036	0.3318123254	0.3801904415	0.2565673677	0.2683690084	0.3078114845	0.2063967611	0.3036067627	0.3482537571	0.2331648589	nan	-0.3902251766	-0.9639914414	0.4233015907	0.4795531837	0.3293492055	0.9939009592	0.9381868784	0.8197654949	0.0639099109	0.1440780191	0.0969655367	0.1782436356	0.2634573515	0.1785636627	0.2630248602	0.312708726	0.2152898309	0.2630248602	0.312708726	0.2152898309	0.3428465807	0.4088196874	0.2813134421	0.2866831081	0.3616328408	0.2493290593	0.3239381664	0.4027110642	0.277176382	-0.4192997916	-0.9710963187
Eulemur_mongoz	Eulemur mongoz	8510	440.601057579	348.689070985	0.4871170969	0.0660222387	0.524586613	0.146817335	0.4478753019	0.0998398315	-0.002465466	-0.0898643742	-0.0651582295	0.1688041502	0.2257234481	0.1504404728	0.2555916102	0.2718789896	0.1824658975	0.2555916102	0.2718789896	0.1824658975	0.3513732063	0.3927578284	0.2655976344	0.2662451433	0.2916940218	0.1944409904	0.3200760888	0.3550905021	0.2377296038	nan	-0.4001827678	-0.9641073344	0.4310556707	0.4973308325	0.3428699966	0.9931531927	0.9359819327	0.8119484635	0.0728768672	0.1537085413	0.103549271	0.1862058471	0.2716000947	0.183775469	0.2585434031	0.2850711078	0.1947220856	0.2585434031	0.2850711078	0.1947220856	0.3580479252	0.4104424529	0.282522232	0.2822665668	0.3394666066	0.2328716947	0.3391488898	0.4053254913	0.2791319286	-0.4150516267	-0.9766834548
Eunicella_cavolinii	Eunicella cavolinii	19803	492.923243953	339.011480615	0.4136835536	0.0378571625	0.3694417598	0.0669464156	0.3461094402	0.0852382182	-0.0130738551	-0.0863406698	-0.0585475801	-0.0287437736	-0.0766038625	-0.0517394788	-0.1316293742	-0.1004634902	-0.0670417609	-0.1316293742	-0.1004634902	-0.0670417609	-0.1177306157	-0.0647589786	-0.0426191379	-0.1286500668	-0.1065993359	-0.0710535887	-0.0991972535	-0.0730333639	-0.0483338769	nan	0.0566105806	-0.9114609942	-0.0922180304	-0.0499749697	-0.0327070255	0.9968235801	0.9848396736	0.9160001027	0.0610564985	0.0429521728	0.0290088108	-0.0327306167	-0.0828934932	-0.0563309689	-0.1299934835	-0.0928387745	-0.0623722817	-0.1299934835	-0.0928387745	-0.0623722817	-0.1188329158	-0.0618647186	-0.0409478768	-0.1193289151	-0.0858244939	-0.0577670793	-0.0863987784	-0.0474010857	-0.0315593059	0.0490260715	-0.9032022942
Eunicella_verrucosa	Eunicella verrucosa	18812	457.506644695	310.91392157	0.4138409118	0.0376873327	0.3671158774	0.066630263	0.3355354833	0.0720801134	-0.0007506666	-0.0293821852	-0.0207500876	-0.0029233787	-0.0057009229	-0.0039723849	0.2259186162	0.3215409602	0.2187709755	0.2259186162	0.3215409602	0.2187709755	0.2496502443	0.3559684086	0.243714936	0.2043603613	0.2908377277	0.1964039065	0.2377362969	0.3298784612	0.223593195	nan	-0.3697234852	-0.9561716993	0.2834976831	0.4385305904	0.3061006406	0.9967252577	0.993906854	0.9555555173	0.0643070234	0.0430065862	0.0294837335	-0.0086469818	-0.0110962381	-0.0076497505	0.2359873472	0.3362772804	0.2326643678	0.2359873472	0.3362772804	0.2326643678	0.2587310282	0.3690463616	0.2570268852	0.2208235592	0.3124180372	0.2150070801	0.2585287892	0.354828517	0.245292514	-0.3831965585	-0.8931776221
Galago_senegalensis	Galago senegalensis	4700	356.581276596	209.066854803	0.4706822558	0.0626874591	0.4909531004	0.1290349495	0.4245555933	0.0958355728	0.006031152	-0.0421742273	-0.0313995721	0.1963046107	0.2031360663	0.1353526456	0.2664176149	0.2984615567	0.2024604755	0.2664176149	0.2984615567	0.2024604755	0.2984356579	0.3331600553	0.2256854882	0.2740071694	0.3056775993	0.2052486697	0.2764904332	0.2963507107	0.1988461997	nan	-0.3570661528	-0.9802722116	0.3930442392	0.4744667234	0.3274003253	0.9930811467	0.9605127507	0.8549841502	0.0969501596	0.1679086212	0.1127494504	0.2217457471	0.2606094361	0.1757478842	0.2691085345	0.3069690986	0.210765853	0.2691085345	0.3069690986	0.210765853	0.2994301024	0.3344020166	0.2287340132	0.2937639288	0.3499666935	0.2402638384	0.2955471727	0.3368376608	0.2308072655	-0.3557186667	-0.9933239542
Halictus_scabiosae	Halictus scabiosae	5773	937.04226572	638.177281096	0.429095535	0.0639211374	0.4231987977	0.1358943033	0.3482000319	0.0841969666	-0.0070530753	-0.2339486669	-0.1718921916	0.0754411188	-0.0537971723	-0.0357796087	-0.0861613138	-0.0792273961	-0.0529274822	-0.0861613138	-0.0792273961	-0.0529274822	-0.1676078179	-0.0772973581	-0.0528272582	-0.1070571832	-0.0986208839	-0.0656869827	-0.1489619	-0.0863022208	-0.0580915096	nan	0.0602409521	-0.4002479235	-0.1313210614	-0.0553153821	-0.0376518638	0.99013846	0.9103512947	0.7634931146	0.1264344648	0.1007021067	0.0682429984	0.1251352299	0.0788269427	0.0530263238	-0.06664285	-0.0252420923	-0.0167412928	-0.06664285	-0.0252420923	-0.0167412928	-0.1836576587	-0.1234630955	-0.0845493719	-0.0833397749	-0.0434237011	-0.028940845	-0.1459639787	-0.0924936711	-0.062983433	0.0738227194	-0.6649894609
Halictus_sexinctus	Halictus sexcinctus	4843	446.281850093	310.976239297	0.4160325437	0.0590433317	0.3967780849	0.1307549587	0.3303251348	0.08141509	-0.0056348817	-0.2488330441	-0.1802795835	0.2011360115	0.1496870561	0.1006815458	0.388163483	0.4285077618	0.2893953125	0.388163483	0.4285077618	0.2893953125	0.3439882688	0.4442614603	0.3013508022	0.3489717694	0.3676548642	0.2457370961	0.3096771557	0.3610347544	0.2390146148	nan	-0.453458466	-0.9471694804	0.4592273681	0.5775507772	0.4019540554	0.9752577582	0.8497375539	0.6995561041	0.2107155728	0.2083615075	0.144354206	0.2390698886	0.2481593583	0.171325799	0.4222027927	0.5536100566	0.3935424333	0.4222027927	0.5536100566	0.3935424333	0.3507005199	0.5126594544	0.3616213748	0.4020786319	0.5240033289	0.3722467463	0.355950236	0.5004071362	0.3518972621	-0.5361419445	-1.029814553
Halictus_simplex	Halictus simplex	6142	464.833116249	313.282759275	0.4123534946	0.0596721817	0.3879868185	0.1312929633	0.3330752387	0.0819228414	-0.00227349	-0.2462881518	-0.1792527564	0.2214887969	0.1602810463	0.1078095053	nan	0.4451227919	0.2989783556	nan	0.4451227919	0.2989783556	nan	0.4831422306	0.3271991166	0.371884059	0.3964602823	0.2645766097	0.3402047882	0.4015715025	0.2665302879	nan	-0.4758329292	-0.9236732876	0.4709166411	0.5908804281	0.4108549459	0.9756476821	0.8554317994	0.7049464894	0.2055739837	0.1991538112	0.1380943923	0.2596489066	0.2462785421	0.1692601944	nan	0.5695181927	0.3529217763	nan	0.5695181927	0.3529217763	nan	0.5558356709	0.3345462706	0.4245973779	0.5515324271	0.3909757254	0.3877311233	0.5457240575	0.3855484047	-0.5547035914	-0.9475566129
Hippocampus_guttulatus	Hippocampus guttulatus	20981	1029.13507459	1009.72337173	0.5405199414	0.0581073692	0.6428198068	0.1192599126	0.4479389989	0.0747303965	-0.0046587573	0.0910042268	0.0659090515	0.0365459104	0.0657072698	0.0431362433	nan	-0.0288619684	-0.0198440531	nan	-0.0288619684	-0.0198440531	nan	-0.051537306	-0.0373182588	-0.0738898219	-0.0168150336	-0.0122725286	-0.1128329435	-0.0501536201	-0.0356221364	nan	0.0482793576	-0.8258082961	-0.1114541216	-0.0473503635	-0.0336154912	0.9832192472	0.9491748838	0.8139790704	-0.1793615563	-0.1822892833	-0.1235094761	-0.0088325356	-0.0069079284	-0.0050180948	nan	-0.0091854489	-0.0923353851	nan	-0.0091854489	-0.0923353851	nan	-0.076095615	-0.1158403446	-0.0941925529	-0.0320310208	-0.022571436	-0.1650753893	-0.1104258011	-0.0760401361	0.0909923193	-0.6357032885
Hippocampus_hippocampus	Hippocampus hippocampus	21212	835.016358665	741.623162978	0.5367962233	0.0581299956	0.6350049369	0.1211192866	0.449669124	0.073958535	0.0044923233	0.1248233958	0.0883794604	0.0734115032	0.1083504259	0.0718054531	nan	0.2151013679	0.1414029986	nan	0.2151013679	0.1414029986	nan	0.3446268007	0.2282229325	nan	0.240588959	0.1589569253	nan	0.3343366151	0.2240593807	nan	-0.3369587596	-0.7889599139	0.1692499194	0.3906043692	0.2627871342	0.9912647369	0.9566935855	0.848555348	-0.1145526481	-0.0997581544	-0.0686484281	0.0543390988	0.0808343016	0.054070647	nan	0.2455468524	0.0597103197	nan	0.2455468524	0.0597103197	nan	0.3650098557	0.133352989	nan	0.2414782791	0.0593591862	nan	0.3182085799	0.1046887094	-0.3435963742	-0.6525779324
Hippocampus_kuda	Hippocampus kuda	22585	954.405268984	961.699580039	0.539082153	0.0571408532	0.6401819212	0.119065479	0.4421372864	0.0726072906	-0.0022427628	0.0770777668	0.0545739436	0.0375925797	0.0665075742	0.043891916	nan	0.1712671041	0.1129063574	nan	0.1712671041	0.1129063574	nan	0.2381538347	0.1566268505	0.1035274395	0.1857807508	0.1232531277	0.1209902546	0.2303062125	0.1533181213	nan	-0.2388865192	-0.7003748341	0.0939592747	0.2809369943	0.1848911845	0.990481711	0.9748780412	0.8774054993	-0.1253375399	-0.1025982053	-0.0706428934	0.0147255463	0.0391067622	0.0256713981	nan	0.1955798502	0.098658641	nan	0.1955798502	0.098658641	nan	0.2531007895	0.1348447923	0.0952542219	0.1890220702	0.1259414028	0.0968922813	0.2203274224	0.1470886377	-0.2452612195	-0.6117665978
Homo_sapiens	Homo sapiens	9881	436.012245724	338.120277541	0.4939113571	0.0710770649	0.5338998481	0.1521275763	0.4558509873	0.1014155968	-0.0055961806	-0.0766191783	-0.0540588085	0.1482447249	0.2128786135	0.1419133181	0.2745193302	0.3157208476	0.2122864906	0.2745193302	0.3157208476	0.2122864906	nan	0.4470289518	0.3043717601	0.290790441	0.3329198158	0.2223150777	0.3490738912	0.3994547465	0.2691357667	nan	-0.4561530213	-0.9556800542	0.4688343769	0.5642468812	0.3946912003	0.9934404941	0.9443688626	0.823912372	0.0888391131	0.1863691173	0.1258218576	0.1751000448	0.278886307	0.1887152347	0.2701252529	0.3109487904	0.2117368769	0.2701252529	0.3109487904	0.2117368769	nan	0.4541115982	0.3115488918	0.3062009476	0.3796705783	0.260152862	0.369276927	0.4508604148	0.3117571891	-0.4670619049	-0.9643934914
Leptogorgia_sarmentosa	Leptogorgia sarmentosa	16494	406.76233782	240.369017813	0.4219469349	0.0416821798	0.3857496092	0.0812824424	0.337996797	0.0752966129	-0.004767572	-0.0223246523	-0.015072135	0.0262507999	0.0131399869	0.0085325857	0.2381899517	0.3263085354	0.2227183615	0.2381899517	0.3263085354	0.2227183615	0.2381953735	0.3357277958	0.2307464369	0.2093739305	0.2884592693	0.1954818994	0.2202335824	0.3028821044	0.2058147554	nan	-0.3444099508	-0.9826438116	0.2823918173	0.4126323878	0.2884555423	0.9969648117	0.9953285895	0.9580551099	0.0468409404	0.0347884078	0.023756699	0.0219405117	0.009737238	0.0063725549	0.246801713	0.3383604458	0.2344954225	0.246801713	0.3383604458	0.2344954225	0.2467610982	0.347242822	0.2423128721	0.2229602948	0.3057656064	0.2106008583	0.2383693946	0.3237206261	0.2236952421	-0.3551636416	-0.8309722419
Lepus_granatensis	Lepus granatensis	4809	823.543772094	637.759892761	0.5063076125	0.0795696958	0.5576205247	0.1596327016	0.4317283575	0.1173219638	-0.0053426213	-0.0980591809	-0.0721029557	0.0850969591	0.0349291392	0.0222001111	-0.0553757309	-0.0203012631	-0.0137038116	-0.0553757309	-0.0203012631	-0.0137038116	nan	0.0040138155	0.0009768739	-0.0508359576	-0.0160548161	-0.0105901257	-0.0296517155	0.0140700736	0.0087159459	nan	-0.0243088432	-0.5606355134	-0.0719488063	0.0139403991	0.0083077375	0.9969404706	0.9505867527	0.8326861549	0.0370025869	0.0849969083	0.0568445932	0.1153824277	0.1343946296	0.0898388278	-0.0615980529	-0.0370342384	-0.0247294827	-0.0615980529	-0.0370342384	-0.0247294827	nan	0.0033380972	-0.0469869166	-0.049471652	-0.0128121664	-0.008474675	-0.0202321164	0.0312517188	0.0199775075	-0.0381204477	-0.7242567449
Lineus_lacteus	Ramphogordiuslacteus	22912	678.702121159	655.13930849	0.4717455986	0.0378357452	0.4995076141	0.084916823	0.3961236684	0.0569740569	-0.0015593111	-0.1431990832	-0.0975512944	0.121769282	0.1055620554	0.0710846264	nan	0.4417026301	0.3037952002	nan	0.4417026301	0.3037952002	nan	0.4429398577	0.3043459882	0.1844760467	0.4080627635	0.2772845466	0.1833282027	0.4040252644	0.2735370447	nan	-0.4277144506	-0.8277542275	0.2427075739	0.5258211073	0.3661476466	0.9980769619	0.9590731607	0.8735617793	0.0436565803	0.0485328225	0.0337438936	0.1171690616	0.0848556644	0.0592327127	nan	0.4827757363	0.3478669116	nan	0.4827757363	0.3478669116	nan	0.484884719	0.3490039764	0.1981768818	0.4648561114	0.3314746669	0.1988367091	0.4673325937	0.3327487005	-0.4708728938	-0.7619692435
Lineus_longissimus	Lineus longissimus	16168	1047.30900544	841.38763549	0.4691688969	0.0349759215	0.4952956014	0.075134469	0.4063491056	0.0552852371	-0.0180368674	-0.1306574513	-0.0906230528	0.1731824232	0.1258219113	0.084640543	nan	-0.0616247357	-0.0408652605	nan	-0.0616247357	-0.0408652605	nan	-0.0655541834	-0.0434822438	-0.1176424224	-0.0560911266	-0.0367498585	-0.1301043281	-0.0777063166	-0.0516472368	nan	0.0527028315	-0.7391978624	-0.0971504291	-0.043222922	-0.0283484807	0.996315513	0.9755202042	0.8941547163	0.0593319346	0.0308932517	0.0208165992	0.1593526373	0.0993326265	0.0672386088	nan	-0.0552256241	-0.0426478901	nan	-0.0552256241	-0.0426478901	nan	-0.0597225838	-0.0454629861	-0.1145818497	-0.0403935797	-0.0262552466	-0.1216018037	-0.0507967964	-0.033581917	0.0341440744	-0.5042013337
Lineus_ruber2	Lineus ruber	26549	777.047082753	787.204155209	0.4690795231	0.0370656549	0.494047559	0.0811516441	0.4041121609	0.0583922115	-0.0138184707	-0.1418751022	-0.0971960578	0.1457866415	0.1213110695	0.081712932	nan	0.3161464657	0.2167738651	nan	0.3161464657	0.2167738651	nan	0.3234894066	0.2209209513	0.0941412782	0.3014410444	0.2038362069	0.0900693898	0.2986908803	0.2009604404	nan	-0.3134829441	-0.827346227	0.1322164339	0.3912101409	0.2706707096	0.9961416885	0.9643353408	0.8812308161	0.0473857451	0.0470966353	0.0327139402	0.1364148012	0.0941229744	0.0652933083	nan	0.3467900763	0.2492642637	nan	0.3467900763	0.2492642637	nan	0.3556097638	0.1715475494	0.1023831568	0.3460800273	0.2441150984	0.1029545954	0.3518267004	0.2476167927	-0.3493945695	-0.8462285958
Liocarcinus_depurator	Liocarcinus depurator	9919	693.598749874	668.590304419	0.5072279215	0.055969875	0.5565164819	0.1110081741	0.4013587227	0.0788184365	-0.0027063132	-0.0377558622	-0.0242710093	0.1084221658	0.050453768	0.0342655342	nan	0.2638860677	0.1724568396	nan	0.2638860677	0.1724568396	nan	0.308249833	0.2048017931	nan	0.2787455589	0.1880626899	nan	0.2887178492	0.1949475691	nan	-0.3378449399	-0.8803588891	0.2202321393	0.4159436632	0.2831884242	0.9966459131	0.9611563266	0.8667212803	0.0114984804	0.013084898	0.0087932174	0.116681129	0.0706437399	0.0486809569	nan	0.309631228	0.1573745734	nan	0.309631228	0.1573745734	nan	0.3549278066	0.1836802883	nan	0.3239728728	0.2291284156	nan	0.3313887184	0.2341233358	-0.3830583721	-0.7195278921
Macaca_mulatta	Macaca mulatta	10498	436.482758621	352.719226134	0.486350297	0.0698707812	0.5190276933	0.149640687	0.4453520518	0.098976869	0.0035115026	-0.081590988	-0.0602731703	0.1855828051	0.2434301209	0.1624759147	0.2585014572	0.2997920933	0.2023219767	0.2585014572	0.2997920933	0.2023219767	0.3631252427	0.4288242912	0.290840363	0.2800025252	0.3218262198	0.2151774715	0.3304869549	0.3814720211	0.2561192899	nan	-0.4380452985	-0.9741115544	0.4455162175	0.5403089195	0.3755945773	0.9912538541	0.9272820706	0.8028322194	0.1088156053	0.2104705394	0.1414526423	0.2149566882	0.3193526678	0.2166821751	0.2545810025	0.3020112606	0.2068483049	0.2545810025	0.3020112606	0.2068483049	0.3642229795	0.4349575109	0.2988530659	0.2958283207	0.3737876339	0.2566978771	0.3491487298	0.432339384	0.2977741913	-0.4502715451	-0.9844185324
